Date,Consumption,Holiday
2022-10-1,0.1600,0
2022-10-10,0.2400,0
2022-10-11,0.1600,0
2022-10-12,0.1800,0
2022-10-13,0.1100,0
2022-10-14,0.1800,0
2022-10-15,0.2200,0
2022-10-16,0.2100,0
2022-10-17,0.2900,0
2022-10-18,0.0900,0
2022-10-19,0.3400,0
2022-10-2,0.1500,0
2022-10-20,0.2000,0
2022-10-21,0.2800,0
2022-10-22,0.1500,0
2022-10-23,0.1800,0
2022-10-24,0.0100,0
2022-10-25,0.1000,0
2022-10-26,0.2600,0
2022-10-27,0.1100,0
2022-10-28,0.3100,0
2022-10-29,0.3200,0
2022-10-3,0.2600,0
2022-10-30,0.1200,0
2022-10-31,0.2900,0
2022-10-4,0.1300,0
2022-10-5,0.3000,0
2022-10-6,0.1400,0
2022-10-7,0.1300,0
2022-10-8,0.3500,0
2022-10-9,0.0700,0
2022-11-1,0.1700,0
2022-11-10,0.1800,0
2022-11-11,0.2500,0
2022-11-12,0.1900,0
2022-11-13,0.1500,0
2022-11-14,0.2000,0
2022-11-15,0.3200,0
2022-11-16,0.2100,0
2022-11-17,0.2700,0
2022-11-18,0.2200,0
2022-11-19,0.1300,0
2022-11-2,0.2800,0
2022-11-20,0.2100,0
2022-11-21,0.3600,0
2022-11-22,0.3900,0
2022-11-23,0.1200,0
2022-11-24,0.3300,0
2022-11-25,0.1900,0
2022-11-26,0.1000,0
2022-11-27,0.0500,0
2022-11-28,0.1100,0
2022-11-29,0.0500,0
2022-11-3,0.1200,0
2022-11-30,0.1200,0
2022-11-4,0.1900,0
2022-11-5,0.3200,0
2022-11-6,0.2000,0
2022-11-7,0.2800,0
2022-11-8,0.1900,0
2022-11-9,0.2900,0
2022-12-1,0.0800,0
2022-12-10,0.0000,1
2022-12-11,0.0000,1
2022-12-12,0.0000,1
2022-12-13,0.0000,1
2022-12-14,0.0000,1
2022-12-15,0.0000,1
2022-12-16,0.0000,1
2022-12-17,0.0000,1
2022-12-18,0.1100,0
2022-12-19,0.4200,0
2022-12-2,0.0200,0
2022-12-20,0.3400,0
2022-12-21,0.3000,0
2022-12-22,0.3600,0
2022-12-23,0.2300,0
2022-12-24,0.2800,0
2022-12-25,0.3300,0
2022-12-26,0.2700,0
2022-12-27,0.3000,0
2022-12-28,0.2200,0
2022-12-29,0.2300,0
2022-12-3,0.0800,0
2022-12-30,0.1400,0
2022-12-31,0.1700,0
2022-12-4,0.0600,0
2022-12-5,0.0800,1
2022-12-6,0.0000,1
2022-12-7,0.0000,1
2022-12-8,0.0000,1
2022-12-9,0.0000,1
2022-9-14,0.0000,0
2022-9-15,0.0500,0
2022-9-16,0.2000,0
2022-9-17,0.1700,0
2022-9-18,0.0700,0
2022-9-19,0.4000,0
2022-9-20,0.0900,0
2022-9-21,0.2300,0
2022-9-22,0.2100,0
2022-9-23,0.1800,0
2022-9-24,0.2000,0
2022-9-25,0.0900,0
2022-9-26,0.2200,0
2022-9-27,0.1800,0
2022-9-28,0.1900,0
2022-9-29,0.2300,0
